Tiempo (s),Ángulo (grados),Posición del Carro (m),Velocidad del Carro (m/s),Fuerza (N)
2.39,0.01664586247643804,9.54328786927067,4.559961018164513,0.02971107004304835
2.4,0.015588290757194699,9.588888203689692,4.560033441901991,0.02896949613684077
2.41,0.014581181528276288,9.63448924377143,4.5601040081739095,0.028226509741761885
2.42,0.01362266385305068,9.680090970944658,4.560172717322764,0.027483660368755672
2.43,0.012710913103098617,9.725693366679225,4.560239573456765,0.02674245430033835
2.44,0.01184415108274712,9.771296412520744,4.560304584151909,0.0260042786492968
2.45,0.011020646050385314,9.81690009012244,4.560367760169517,0.025270407541427918
2.46,0.010238712644272369,9.862504381274327,4.560429115188663,0.024542008077491198
2.47,0.009496711720177308,9.908109267929857,4.5604886655529775,0.023820146076892708
2.48,0.008793050107831176,9.95371473223017,4.560546430031259,0.023105791606034168
2.49,0.0081261802928235,9.999320756526084,4.560602429591384,0.02239982429458414
2.5,0.007494600030237098,10.044927323397953,4.5606566871869845,0.021703038443258917
2.5100000000000002,0.006896851895988399,10.090534415673517,4.560709227556382,0.021016147926976796
2.52,0.00633152278152432,10.13614201644385,4.560760077033279,0.0203397908974859
2.5300000000000002,0.005797243337221402,10.181750109077537,4.560809263368718,0.019674534289794803
2.54,0.005292687369538535,10.227358677233175,4.560856815563827,0.019020878136928494
2.5500000000000003,0.004816571196690676,10.272967704870304,4.560902763712882,0.01837925969764259
2.56,0.004367652967337943,10.318577176258867,4.560947138856233,0.017750057401935016
2.57,0.003944731946521689,10.364187075987292,4.560989972842656,0.01713359461921551
2.58,0.003546647772826917,10.409797388969299,4.561031298200692,0.016530143254147714
2.59,0.0031722796905082435,10.455408100449484,4.56107114801855,0.01593992717518942
2.6,0.002820545760084525,10.501019196007805,4.56110955583219,0.015363125480912138
2.61,0.002490402050684984,10.546630661563016,4.561146555521164,0.01479987560920673
2.62,0.002180841817217029,10.592242483375134,4.561182181211862,0.01425027629448298
2.63,0.0018908946652226978,10.637854648047012,4.561216467187777,0.01371439037793494
2.64,0.0016196257060965974,10.683467142525076,4.5612494478064445,0.013192247475963037
2.65,0.001366134705153096,10.729079954099303,4.561281157422707,0.012683846511752604
2.66,0.0011295552248541006,10.774693070402483,4.561311630317982,0.012189158114994056
2.67,0.0009090537653408167,10.820306479408835,4.5613409006352095,0.011708126894648587
2.68,0.0007038289042530991,10.865920169432027,4.561369002319177,0.011240673589579638
2.69,0.0005131104376682897,10.911534129122646,4.561395969061927,0.010786697101844649
2.7,0.00033615852384728155,10.957148347465177,4.561421834252967,0.010346076417263745
2.71,0.0001722628313389517,11.002762813774517,4.561446630934011,0.009918672417876685
2.72,2.0741692864644788e-05,11.048377517692098,4.561470391757987,0.009504329590740221
2.73,-0.00011905873371812532,11.093992449181618,4.5614931489520805,0.009102877637442264
2.74,-0.0002470446846723861,11.139607607607884,4.56151584262659,0.00907746980370131
2.75,-0.00036333971878299207,11.185222992594671,4.561538498678725,0.009062420853740661
2.7600000000000002,-0.00046817022316603325,11.230838602423217,4.561560982854684,0.008993670383342586
2.77,-0.0005618140125506374,11.276454434149471,4.561583172625388,0.008875908281348375
2.7800000000000002,-0.0006445945546089451,11.322070483719425,4.561604956995404,0.00871374800578166
2.79,-0.0007168753782193242,11.367686746082,4.561626236257457,0.008511704820825087
2.8000000000000003,-0.0007790546838879491,11.413303215298983,4.561646921698304,0.008274176338604843
2.81,-0.0008315601728248939,11.458919884651598,4.5616669352615595,0.00800542530187089
2.82,-0.0008748441085564053,11.504536746743327,4.5616862091728985,0.0077095645354402715
2.83,-0.000909378622461725,11.550153793598655,4.561704685532867,0.0073905439870044255
2.84,-0.0009356512722560356,11.595771016757478,4.561722315882296,0.007052139771669763
2.85,-0.0009549879437631124,11.641388396939412,4.561738018193416,0.006280924447931862
2.86,-0.0009688479032674347,11.687005909504455,4.561751256504273,0.0052953243429479
2.87,-0.000978207293713209,11.732623534061743,4.561762455728696,0.004479689769221198
2.88,-0.0009838724002886727,11.778241253732087,4.561771967034492,0.0038045223180406037
2.89,-0.0009865091540547809,11.823859054538495,4.561780080640783,0.0032454425162073415
2.9,-0.000986667513532861,11.869476924902465,4.561787036396882,0.002782302439661277
2.91,-0.0009848016128101,11.91509485522773,4.561793032526533,0.0023984518605055694
2.92,-0.0009811711565311913,11.96071283900908,4.56179837813496,0.0021382433708294103
2.93,-0.0009758385229984062,12.006330873240328,4.561803423124878,0.002017995966995831
2.94,-0.0009689466777015968,12.051948955046752,4.561808180642429,0.0019030070204364702
2.95,-0.0009606306358281732,12.097567081680689,4.56181266339356,0.001793100452401653
2.96,-0.000951017806898847,12.143185250517215,4.5618168836525905,0.0016881036120700418
2.97,-0.0009402283279837217,12.188803459049925,4.561820853270982,0.0015878473563781872
2.98,-0.0009283753857155283,12.234421704886788,4.561824583686274,0.0014921661167995694
2.99,-0.0009155655273222764,12.2800399857461,4.561828085931159,0.0014008979539529439
3.0,-0.0009018989609062581,12.325658299452527,4.561831370642661,0.0013138846008354827
3.0100000000000002,-0.0008874698452001682,12.371276643933241,4.5618344480714,0.001230971495485692
3.02,-0.0008723665690342062,12.41689501721415,4.561837328090909,0.0011520078037990616
3.0300000000000002,-0.000856672020750418,12.46251341741622,4.561840020206992,0.001076846433222493
3.04,-0.0008404638478023139,12.508131842751892,4.561842533567087,0.001005344037968795
3.0500000000000003,-0.0008238147067789406,12.553750291521588,4.561844876969628,0.0009373610164078834
3.06,-0.0008067925040931843,12.599368762110322,4.561847058873381,0.0008727615012329278
3.0700000000000003,-0.0007894606275741725,12.64498725298439,4.561849087406738,0.0008114133429617465
3.08,-0.0007718781692032412,12.69060576268816,4.561850970376956,0.0007531880873285629
3.09,-0.0007541001392320991,12.736224289840953,4.561852715279324,0.0006979609470645825
3.1,-0.0007361776719205936,12.781842833134016,4.561854329306245,0.0006456107685560599
3.11,-0.0007181582231298481,12.827461391327578,4.5618558193562295,0.0005960199938418581
3.12,-0.0007000857600046081,12.873079963248006,4.561857192042775,0.0005490746183730686
3.13,-0.0006820009429763532,12.918698547785038,4.561858453703137,0.0005046641449478311
3.14,-0.0006639413003162067,12.964317143889108,4.561859610406973,0.00046268153419728
3.15,-0.0006459413954638433,13.009935750568756,4.5618606679648535,0.0004230231519967936
3.16,-0.0006280329873555747,13.055554366888122,4.5618616319366385,0.00038558871413353396
3.17,-0.0006102451839715582,13.10117299196452,4.5618625076397095,0.0003502812285426198
3.18,-0.0005926045893186173,13.14679162496609,4.561863300157048,0.0003170069354329199
3.19,-0.0005751354440615958,13.192410265109542,4.561864014345162,0.00028567524556196664
3.2,-0.0005578597600124038,13.238028911657961,4.561864654841854,0.00025619867693764343
3.21,-0.000540797448682067,13.2836475639187,4.56186522607383,0.00022849279018278992
3.22,-0.0005239664440970925,13.329266221241342,4.561865732264137,0.00020247612280604503
3.23,-0.0005073828200773998,13.374884883015737,4.561866177439444,0.00017807012258433676
3.24,-0.0004910609021689322,13.420503548670109,4.561866565437144,0.00015519908025226213
3.25,-0.00047501337441981263,13.466122217669232,4.561866899912299,0.00013379006170707863
3.2600000000000002,-0.00045925138118468325,13.511740889512676,4.561867184344399,0.00011377283987229268
3.27,-0.00044378462413752597,13.557359563733117,4.561867422043965,9.507982640995265e-05
3.2800000000000002,-0.0004286214546689557,13.602978239894707,4.561867616158973,7.76460034073458e-05
3.29,-0.00041376896183960895,13.648596917591519,4.561867769681111,6.140885519085917e-05
3.3000000000000003,-0.00039923305605691343,13.694215596446037,4.561867885451862,4.6308300381266984e-05
3.31,-0.0003850185486381473,13.739834276107722,4.561867966168423,3.228662432172389e-05
3.3200000000000003,-0.0003711292274183689,13.785452956251616,4.561868014389453,1.9288411971671694e-05
3.33,-0.00035756792855746365,13.831071636577022,4.561868032540656,7.260481372760157e-06
3.34,-0.00034433660469626175,13.876690316806224,4.5618680229202,-3.848182230194542e-06
3.35,-0.00033143638960740374,13.922308996683263,4.561867987703971,-1.4086491524603273e-05
